sexo,etnia,idade,estcivil,cidade,escolaridade,economia,profissao,renda,beneficio,comunicacao,celular,internet,acesso,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,literacia,scores
1,1,30,2,Faxinal Pr,5,3,Enfermeira ,4,9,Internet,1,1,"Computador, Celular",4,4,4,4,4,5,4,4,4,4,4.1,0.586053493
1,1,39,2,Faxinal,5,3,Enfermeira,4,9,Internet,1,1,Celular,5,5,4,4,4,5,4,4,4,4,4.3,0.586053493
1,1,57,2,Londrina,3,3,Vendedora ,3,9,Internet,1,1,Celular,3,4,4,4,4,4,4,4,4,4,3.9,0.335292996
1,1,67,2,Londrina,3,3,Professora Municipal,3,9,Internet,1,1,"Tablet, Celular",4,5,4,4,4,4,4,4,4,4,4.1,0.335292996
1,1,28,2,Faxinal,2,3,Doméstica,2,1,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
2,3,30,1,Faxinal ,4,2,Professor e Técnico em enfermagem ,3,9,"TV, Internet",1,1,Celular,5,4,3,3,3,4,4,3,4,2,3.5,-0.355798543
2,1,37,2,Faxinal ,4,4,Administrador,3,9,"TV, Internet",1,1,"Computador, Celular",5,4,4,4,4,4,5,4,4,4,4.2,0.601574902
1,1,32,1,Londrina,5,2,Advogada,2,9,Internet,1,1,"Celular, Notebook",4,4,3,2,3,3,3,2,2,3,2.9,-0.774868468
2,1,45,2,jacksonville,4,1,zalador,2,9,TV,2,1,Computador,3,4,4,3,4,1,1,1,1,1,2.3,-1.330925323
1,1,26,2,Ortigueira ,2,2,enfermeira,3,9,Internet,1,1,Celular,4,5,5,5,5,5,5,5,5,5,4.9,1.632261366
1,1,76,1,Londrina ,3,2,aposentada,3,9,Internet,1,1,Computador,3,1,4,4,4,4,4,4,4,3,3.5,0.209744825
2,3,75,2,Lndapr,3,4,Aposentado,3,9,"Jornal Escrito e/ou Revistas, TV, Internet",1,1,"Computador, Celular",4,5,4,4,5,5,5,4,2,4,4.2,0.791817002
2,4,23,1,Panamá ,5,2,Modelo,5,9,"TV, Internet",1,1,"Computador, Celular, Notebook",3,5,3,3,3,4,4,3,3,4,3.5,-0.275951339
1,1,39,2,Faxinal ,5,3,Enfermeira ,4,9,"TV, Internet",1,1,"Computador, Celular",5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
2,1,37,2,Faxinal,5,4,Administrador,3,9,"TV, Internet",1,1,"Computador, Celular",5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
2,1,32,1,Ivaiporã,4,3,Empresário ,3,9,Internet,1,1,Celular,3,5,4,2,2,4,4,4,4,3,3.5,-0.275746009
1,3,23,1,Ivaiporã,3,3,Estagiária ,2,9,Internet,1,1,Celular,3,4,2,4,4,3,4,4,4,3,3.5,-0.1566588
1,3,23,1,Ivaiporã,3,2,Administrativo,2,9,Internet,1,1,Celular,5,4,4,4,4,4,4,4,3,3,3.9,0.120461091
2,1,30,3,Ivaiporã,3,4,auxiliar administrativo,2,9,Internet,1,1,"Computador, Celular",5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,1,23,2,Manoel Ribas,3,3,Empressaria,3,9,Internet,1,1,Celular,3,4,3,4,4,3,3,3,3,3,3.3,-0.415487136
1,3,31,2,São João do Ivaí,3,1,Do lar,1,9,Internet,1,1,Celular,2,4,4,4,4,4,4,4,4,4,3.8,0.335292996
1,1,38,1,Ivaiporã,4,3,Auxiliar cartório,2,9,"Jornal Escrito e/ou Revistas, TV, Rádio, Internet",1,1,"Computador, Celular, Notebook",5,5,4,4,3,4,4,2,3,2,3.6,-0.363231348
1,1,22,1,Grandes rios ,3,2,Secretária,2,9,Internet,1,1,Celular,3,4,3,3,4,4,4,4,3,3,3.5,-0.099895738
1,1,22,1,Ivaiporã,3,1,Estudante,2,9,Internet,1,1,Celular,5,5,5,3,3,5,5,4,4,4,4.3,0.548989343
2,4,27,1,Grandes rios,4,2,Contador,4,9,Internet,1,1,"Computador, Celular, Notebook",3,4,3,3,3,3,3,3,3,3,3.1,-0.579124686
2,1,21,1,Manoel Ribas,3,3,Escrevente ,2,9,Internet,1,1,"Computador, Celular, Notebook",5,5,4,4,4,3,3,4,4,3,3.9,-0.195392736
1,1,22,1,Ivaiporã ,3,2,Assistente de Advogado,3,9,Internet,1,1,Celular,5,5,2,2,2,2,2,1,1,1,2.3,-1.434419643
1,1,30,2,Faxinal,3,4,Tec Enfermagem,2,9,Internet,1,1,"Computador, Celular",5,4,3,4,4,4,4,4,4,4,4,0.22863719
2,1,31,1,Faxinal,5,2,Enfermeiro,4,9,"Jornal Escrito e/ou Revistas, TV, Internet",1,1,Celular,3,4,4,4,4,4,4,4,5,4,4,0.442805533
1,1,28,1,Faxinal ,4,2,Eng agrônoma ,3,9,Internet,1,1,"Celular, Notebook",4,4,4,4,4,3,4,4,4,3,3.8,-0.018412942
1,2,51,2,Mauá da Serra,4,3,Orientadora do Kumon,3,9,"TV, Internet",1,1,"Celular, Notebook",3,4,3,4,4,2,2,4,2,2,3,-0.635739998
1,1,40,1,Faxinal-PR,5,4,Professora,3,9,Internet,1,1,Celular,4,4,2,2,2,2,2,4,2,1,2.5,-1.084352866
2,1,48,2,Faxinal,3,4,Motorista,2,9,TV,1,1,Celular,5,1,5,3,3,3,3,3,3,3,3.2,-0.451693596
1,1,50,2,Faxinal parana,4,4,Pedagoga(nas nao atuante),2,3,Internet,1,1,Celular,4,4,4,4,4,4,4,4,3,4,3.9,0.238294813
1,1,46,2,Faxinal,4,4,Fonoaudióloga ,4,9,"Jornal Escrito e/ou Revistas, Internet",1,1,"Celular, Notebook",4,5,5,5,5,5,5,5,5,5,4.9,1.632261366
1,1,55,2,Faxinal pr,3,4,Fiscal,1,9,Internet,1,1,Celular,5,5,2,4,4,3,3,3,3,3,3.5,-0.467045555
2,1,52,2,Londrina,5,4,Analista de negócios,3,9,Internet,1,1,Celular,4,5,3,3,3,4,4,4,2,3,3.5,-0.271852381
1,1,60,2,Faxinal Pr,3,1,Do lar,1,9,TV,1,1,Notebook,2,4,4,4,4,4,3,4,3,3,3.5,-0.105700636
1,3,36,2,Faxinal,3,3,Agente comunitário de saúde ,2,9,Internet,1,1,Celular,4,4,4,4,4,4,4,4,4,2,3.8,0.114933537
2,1,40,3,Arapongas,3,2,Técnico de enfermagem/socorrista,3,9,"TV, Internet",1,1,"Celular, Notebook",3,4,3,3,4,4,4,2,2,2,3.1,-0.454958064
1,1,41,2,Faxinal,5,2,Enfermeira,4,9,Internet,1,1,Celular,5,4,4,5,5,5,5,4,4,4,4.5,1.037633962
1,1,37,2,Faxinal,5,2,Professora,4,9,Internet,1,1,"Celular, Notebook",5,5,4,4,4,5,4,5,4,4,4.4,0.750714133
1,3,45,1,Maua da serra,2,2,Tecnica enfermagem,2,9,Internet,1,1,Celular,5,5,5,5,5,5,5,4,4,3,4.6,1.003520136
1,3,25,1,Faxinal,3,2,Auxiliar de serviços gerais,2,9,"TV, Rádio, Internet",1,1,"Celular, Notebook",2,2,3,2,3,2,2,2,2,2,2.2,-1.062873256
1,3,33,2,Faxinal/ Pr,3,2,Agente Comunitário de Saúde ,2,9,"TV, Rádio, Internet",1,1,"Computador, Celular",4,4,4,4,4,3,3,3,3,2,3.4,-0.421148787
1,1,26,2,Ortigueira ,3,4,enfermeira,3,9,Internet,1,1,Celular,5,5,5,5,5,5,5,5,5,5,5,1.632261366
1,3,37,1,Faxinal,2,3,Auxiliar de enfermagem ,2,9,Internet,1,1,Celular,5,4,4,4,4,4,4,4,4,2,3.9,0.114933537
1,1,26,1,Faxinal,4,3,Farmacêutica ,3,9,Internet,1,1,Celular,2,2,3,2,2,2,2,2,2,3,2.2,-1.075319251
1,1,35,2,Faxinal,5,2,Farmacêutica,3,9,Internet,1,1,Celular,5,4,4,4,4,4,4,4,4,4,4.1,0.335292996
1,1,26,2,Faxinal-PR,3,3,Assistente Administrativo,2,9,Internet,1,1,Celular,4,4,4,4,4,3,4,4,4,2,3.7,-0.093500047
1,1,34,1,Ivaiporã,5,2,Fisioterapeuta ,3,9,Rádio,1,1,Celular,2,4,3,4,4,4,4,4,3,2,3.4,-0.057113189
1,1,29,2,Faxinal,4,1,Assistente social,2,9,Internet,1,1,"Computador, Celular",4,4,4,4,4,4,4,3,4,4,3.9,0.115076457
1,3,26,1,Grandes rios,3,2,Manicure e pedicure,1,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,1,33,2,Faxinal ,5,4,Enfermeira,4,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,1,25,1,FAXINAL,4,2,Assistente social,3,9,"TV, Internet",1,1,"Computador, Celular, Notebook",3,4,3,4,4,4,4,4,4,4,3.8,0.22863719
2,1,20,2,Faxinal ,4,2,ecomerce,3,9,"TV, Internet",1,1,"Computador, Celular, Notebook",4,4,2,2,2,4,4,4,5,5,3.6,-0.126431003
1,1,52,2,Faxinal,5,4,Professora,3,9,Internet,1,1,Celular,3,4,2,4,4,4,4,4,4,3,3.6,0.029068793
1,3,37,2,Marabá ,3,4,Assistente administrativo ,2,9,Internet,1,1,Celular,5,4,2,2,2,2,2,2,3,1,2.5,-1.239698476
1,1,36,2,Faxinal,3,3,Servidor público ,2,9,Internet,1,1,Celular,5,4,3,4,4,4,3,3,3,3,3.6,-0.294636855
1,1,51,2,Faxinal Pr,2,1,Cozinheira,3,9,Internet,1,1,Celular,2,4,3,3,3,3,3,4,3,3,3.1,-0.482931418
2,1,23,1,Ivaiporã,3,3,Estagiário,2,9,Internet,1,1,Celular,3,4,4,3,4,4,4,4,4,3,3.7,0.055536075
1,1,47,2,Faxinal,5,4,Professora,3,9,Internet,1,1,"Celular, Notebook",5,5,2,4,4,2,2,2,2,2,3,-0.879516875
1,1,39,2,Londrina,3,2,Autônoma ,2,9,Internet,1,1,Celular,4,3,2,2,2,4,4,3,3,3,3,-0.555437533
1,1,25,3,Faxinal,3,1,Estudante,1,9,"TV, Internet",1,1,"Celular, Notebook",4,4,3,3,4,4,4,4,3,2,3.5,-0.176691845
1,1,39,2,londrina,4,2,assessora,3,9,Internet,1,1,"Computador, Celular",4,5,3,3,3,4,4,4,4,3,3.7,-0.16455289
1,1,31,2,Apucarana ,5,1,"Sou formada em contabilidade, mas no momento estou do lar.",1,9,Internet,1,1,Celular,3,4,3,3,3,3,3,4,2,2,3,-0.58250901
1,1,39,2,Faxinal ,3,3,Téc. Enfermagem ,2,9,Internet,1,1,"Celular, Notebook",5,4,3,4,4,4,4,4,4,2,3.8,0.021178325
1,1,21,2,Faxinal,3,4,Auxilar administrativa,2,9,Internet,1,1,Celular,5,5,4,3,3,3,4,4,4,4,3.9,-0.173180813
2,3,55,2,Faxinal ,3,4,Fucionario público ,3,9,"TV, Internet",1,1,Celular,3,4,3,4,5,3,3,4,5,3,3.7,-0.02670032
1,1,35,3,Faxinal,4,4,Nutricionista ,4,9,"TV, Internet",1,1,"Computador, Celular, Notebook",3,5,5,5,5,5,4,4,5,4,4.5,1.012597804
2,3,43,2,Pindamonhangaba,4,4,Enfermeiro e Auxiliar de enfermagem,4,9,"TV, Internet",1,1,"Celular, Notebook",5,5,5,5,5,5,5,5,5,5,5,1.632261366
1,1,25,2,Ivaiporã ,3,3,Estudante,2,9,Internet,1,1,Celular,3,4,3,2,2,2,3,3,2,2,2.6,-0.932223298
2,3,33,1,Londrina,5,4,Gerente de Projetos,3,9,Internet,1,1,"Computador, Celular, Notebook",5,4,3,3,3,3,3,3,3,3,3.3,-0.579124686
1,1,34,2,Faxinal,5,2,Terapeuta ocupacional,5,9,Internet,1,1,Celular,5,5,4,4,4,4,4,5,5,2,4.2,0.449091285
1,1,31,2,Faxinal ,4,3,Nutricionista ,3,9,Internet,1,1,Celular,4,5,4,4,4,4,4,4,4,4,4.1,0.335292996
1,3,33,2,Blumenau,3,3,Sua Adm de farmacia,2,9,"Jornal Escrito e/ou Revistas, Internet",1,1,Celular,1,1,4,5,5,4,4,5,4,2,3.5,0.661452051
1,1,30,1,Faxinal,4,2,Atendente,3,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,3,43,1,Faxinal ,2,4,Acs Agente de Saúde ,1,9,"TV, Rádio, Internet",1,1,Celular,4,4,2,4,4,4,4,3,5,5,3.9,0.188899087
1,1,45,2,Faxinal,3,3,Artesã,2,9,Internet,1,1,Notebook,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,3,57,4,Faxinal PR,2,2,Doméstica,2,3,"TV, Internet",1,1,Celular,5,5,5,4,4,4,4,4,4,4,4.3,0.454451149
2,1,25,2,Ortigueira ,3,2,Vendedor,2,9,Internet,1,1,"Celular, Notebook",5,1,4,4,4,3,3,3,5,3,3.5,-0.240540655
1,1,60,3,Faxinal pr,3,4,Aposentada,1,9,Internet,1,1,Celular,5,4,3,3,3,4,4,4,5,4,3.9,0.001719889
1,1,39,1,Faxinal ,3,2,Cozinheira  ,2,9,Internet,1,1,Celular,5,5,4,4,4,2,2,2,3,2,3.3,-0.73297485
2,1,42,3,FAXINAL,4,4,FUNCIONÁRIO PÚBLICO,3,9,Internet,1,1,"Computador, Celular",3,4,3,3,3,2,2,4,3,3,3,-0.693477056
1,1,21,2,Faxinal pr,3,2,Vendedora,1,9,Internet,1,1,Celular,3,4,3,4,4,3,4,3,2,2,3.2,-0.389650944
1,1,44,1,FAXINAL ,5,3,Administração ,1,9,Internet,1,1,Celular,5,5,4,5,5,5,5,5,5,5,4.9,1.4721985
1,1,21,2,Ortigueira,3,2,Assistente Administrativa ,2,9,Internet,1,1,"Computador, Celular, Notebook",4,5,5,5,5,5,5,5,5,5,4.9,1.632261366
1,1,19,2,Faxinal,3,2,Zeladora ,2,9,"TV, Rádio, Internet",1,1,"Tablet, Celular",5,4,4,4,4,4,4,3,3,3,3.8,-0.056549841
1,3,21,2,Cambé ,3,1,Desempregada,2,9,Internet,1,1,Celular,2,3,4,4,4,2,4,3,4,4,3.4,-0.20099238
1,3,43,1,Faxinal,2,4,Acs Agente de Saúde ,1,9,"TV, Rádio, Internet",1,1,Celular,4,4,4,4,4,4,4,4,4,3,3.9,0.209744825
1,1,41,2,Maringa ,5,4,Fonoaudióloga ,5,9,Internet,1,1,"Celular, Notebook",4,5,4,4,4,4,4,4,4,4,4.1,0.335292996
1,1,27,1,Londrina,4,2,Enfermeira ,3,9,Internet,1,1,"Celular, Notebook",3,5,4,4,4,4,4,4,4,4,4,0.335292996
1,1,25,1,Cruzeiro do oeste ,3,2,Contadora ,3,9,Internet,1,1,Celular,4,4,4,4,4,4,4,4,4,4,4,0.335292996
2,1,27,1,ORTIGUEIRA ,5,2,Enfermeiro ,3,9,Internet,1,1,"Computador, Celular, Notebook",5,5,4,5,4,5,5,5,4,5,4.7,1.174373145
1,1,20,1,Ortigueira ,3,2,Estagiaria ,2,9,Internet,1,1,"Celular, Notebook",5,5,5,5,5,5,5,5,5,5,5,1.632261366
1,1,29,1,Mauá da Serra ,5,2,Enfermeira ,3,9,Internet,1,1,"Computador, Tablet, Celular, Notebook",5,5,5,5,5,5,5,5,4,5,4.9,1.469419462
1,1,43,2,Faxinal,3,2,Cabeleireira,3,9,Internet,1,1,Celular,3,3,4,4,4,1,1,1,4,1,2.6,-1.122573179
1,3,38,2,Faxinal,3,2,Consultora de Vendas ,2,9,"TV, Rádio, Internet",1,1,"Computador, Celular",2,3,3,3,4,3,2,2,2,2,2.6,-0.796455969
1,3,37,2,Pitanga,5,2,Psicólogo,2,9,Internet,1,1,Celular,4,4,4,4,4,4,4,4,4,4,4,0.335292996
2,1,21,1,Ciudad del Este,3,1,Estudante,1,9,Internet,1,1,"Computador, Celular",3,5,2,2,4,4,4,4,4,4,3.6,-0.10848046
1,1,35,2,Apucarana,3,2,Comerciante,2,9,Internet,1,1,Celular,2,4,4,4,4,4,4,4,4,4,3.8,0.335292996
2,3,24,1,Londrina/PR,4,3,Engenheiro Civil,3,9,Internet,1,1,"Computador, Celular",4,4,3,3,3,3,3,3,3,2,3.1,-0.639784961
1,1,44,2,Ortigueira,3,4,Aux.de enfermeira ,2,9,"TV, Internet",1,1,"Celular, Notebook",4,4,4,4,4,4,4,4,4,4,4,0.335292996
2,1,17,1,Cambé,2,3,Atendente,2,9,"TV, Internet",1,1,Celular,3,4,3,3,4,4,3,4,3,2,3.3,-0.335761615
1,2,19,1,Cruzmaltina,3,1,Estudante,1,9,Internet,1,1,Celular,1,4,2,2,2,4,4,2,2,2,2.5,-0.751558834
2,3,35,1,Faxinal-PR,5,2,Farmacêutico ,4,9,Internet,1,1,"Computador, Celular",4,4,4,4,4,4,4,4,4,4,4,0.335292996
2,4,49,2,Londrina PR,3,2,Eletrotécnico,5,9,"Jornal Escrito e/ou Revistas, TV, Rádio, Internet",1,1,"Computador, Celular",5,5,4,4,4,4,4,4,3,3,4,0.120461091
2,3,21,1,Foz do Iguaçu,3,1,Estudante,1,9,Internet,1,1,Celular,1,3,1,4,4,4,4,4,4,5,3.4,0.215880752
1,1,28,2,Faxinal,2,3,Doméstica,2,1,Internet,1,1,Celular,4,2,4,4,4,4,4,4,4,4,3.8,0.335292996
2,1,60,2,Erechim ,5,4,Administrador,5,9,Internet,1,1,Celular,5,4,4,5,5,5,5,4,5,4,4.6,1.120727489
2,1,42,2,Urai,3,4,Servidor publico,3,9,Internet,1,1,"Computador, Celular",5,5,4,4,4,4,4,4,4,2,4,0.114933537
2,1,40,2,Aracruz,2,4,Comerciante ,5,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,3,18,1,Londrina,2,3,estagiária ,2,1,Internet,1,1,"Celular, Notebook",5,4,3,4,4,4,3,3,3,2,3.5,-0.359907489
1,3,22,2,Londrina- PR,3,1,Babá,1,9,Internet,1,1,"Celular, Notebook",3,4,3,4,3,3,3,3,3,2,3.1,-0.565378541
2,1,52,2,Londrina,3,2,Administrador,3,9,Internet,1,1,"Computador, Celular",5,5,3,3,3,3,3,3,3,3,3.4,-0.579124686
1,1,36,2,Faxinal ,4,4,Analista de laboratório ,2,9,Internet,1,1,Celular,1,4,3,4,4,4,3,3,3,2,3.1,-0.359907489
1,1,43,1,ortigueira ,3,2,tecnico em enfermagem ,2,9,Internet,1,1,Celular,1,3,3,3,3,3,3,3,3,3,2.8,-0.579124686
2,4,46,1,Faxinal pr,5,2,Funcionário público ,3,9,Internet,1,1,"Celular, Notebook",5,1,3,3,3,5,5,4,4,4,3.7,0.408369283
2,1,60,2,Faxinal Pr,5,4,Médico Veterinário ,3,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,3,3,4,0.120461091
2,1,36,2,Ortigueira ,3,4,Funcionario público ,2,9,Internet,1,1,Celular,4,5,3,3,1,1,3,1,1,1,2.3,-1.377118806
1,1,46,1,Faxinal ,5,3,Professora,3,9,"TV, Internet",1,1,"Computador, Celular, Notebook",5,4,4,4,4,4,4,4,4,4,4.1,0.335292996
1,1,30,2,Faxinal,3,4,Açougueiro,2,9,Internet,1,1,Celular,4,1,4,4,4,4,4,4,5,4,3.8,0.442805533
2,1,52,2,Londrina ,5,2,Contador,5,9,"Jornal Escrito e/ou Revistas, TV, Internet",1,1,"Celular, Notebook",4,5,4,4,4,4,4,4,4,4,4.1,0.335292996
1,1,38,2,Londrina,4,2,Administradora,1,9,Internet,1,1,"Computador, Celular",3,4,2,4,4,2,2,4,4,4,3.3,-0.47105009
1,1,21,1,CDE ,3,1,Estudante,1,9,Internet,1,1,"Tablet, Celular, Notebook",5,5,4,4,4,4,4,3,3,3,3.9,-0.056549841
2,1,59,4,Faxinal,3,2,Microempresario,4,9,"Jornal Escrito e/ou Revistas, TV, Internet",1,1,"Computador, Celular",2,3,3,3,3,3,3,2,2,2,2.6,-0.765697456
1,2,26,2,Faxinal,3,3,Agricultora,1,9,Internet,1,1,Celular,4,5,4,4,4,4,5,4,4,4,4.2,0.601574902
1,1,24,1,Faxinal ,2,1,Lavradora,1,9,Internet,1,2,Celular,4,5,4,4,4,4,4,4,3,2,3.8,0.02990277
1,2,47,2,Apucarana ,3,3,Vendedora,3,9,Internet,1,1,Computador,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
2,1,31,1,Faxinal,5,2,Programador ,3,9,Internet,1,1,"Celular, Notebook",3,5,4,4,4,3,3,4,2,3,3.5,-0.292331836
2,1,45,2,londrina,4,4,autonomo,3,9,"TV, Internet",1,1,"Computador, Celular, Notebook",1,4,2,4,4,3,3,1,2,1,2.5,-0.82609965
1,2,33,2,Faxinal PR,3,4,Caixa,2,9,Internet,1,1,Celular,3,4,3,4,4,4,4,4,5,5,4,0.492886383
1,1,26,2,São Paulo ,3,2,Assistente de e-commerce ,2,9,Internet,1,1,"Computador, Celular, Notebook",2,4,3,1,1,2,2,2,1,1,1.9,-1.476207212
1,3,53,2,Faxinal ,3,2,Comerciante ,4,9,Internet,1,1,Celular,3,3,3,3,3,3,3,2,2,2,2.7,-0.765697456
2,1,37,2,Faxinal PR,3,4,Motorista,3,9,TV,1,1,Celular,3,4,4,4,4,4,4,3,3,3,3.6,-0.056549841
2,1,39,2,Faxinal pr,4,4,Funcionário publico ,3,9,Internet,1,1,"Computador, Celular",5,5,5,5,5,5,5,5,5,5,5,1.632261366
1,1,31,2,Londrina,5,4,Engenheira Civil,4,9,Internet,1,1,Celular,2,4,4,4,4,4,4,4,4,3,3.7,0.209744825
1,1,39,2,Londrina ,4,3,Coordenadora Administrativa ,5,9,"TV, Internet",1,1,"Computador, Celular",5,4,3,4,4,2,4,4,4,3,3.7,-0.214741613
2,1,31,2,Maringá ,5,2,Dentista,5,9,Internet,1,1,Celular,4,4,3,4,4,3,4,4,3,3,3.6,-0.155689996
1,1,34,2,LONDRINA,5,4,ADVOGADA,3,9,Internet,1,1,Celular,3,4,4,4,4,4,4,4,4,4,3.9,0.335292996
2,3,25,2,Faxinal,3,4,Comprador,2,9,Internet,1,1,Celular,3,4,4,4,4,4,4,4,4,2,3.7,0.114933537
2,1,43,2,Maringá ,5,4,Consultor de Vendas ,3,9,Internet,1,1,"Computador, Celular",5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,1,31,2,Faxinal,5,2,Farmacêutica,3,9,"TV, Internet",1,1,"Celular, Notebook",3,4,3,4,4,4,4,4,4,4,3.8,0.22863719
2,1,39,2,Maringá,5,4,Consultor de sistemas,5,9,Internet,1,2,"Celular, Notebook",5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,1,32,1,Londrina,5,3,Advogada,2,9,Internet,1,1,"Computador, Celular",4,5,4,4,4,4,4,3,3,2,3.7,-0.133897797
1,2,39,2,Faxinal PR,2,3,Secretaria,1,9,Internet,1,1,Celular,4,4,4,4,4,4,4,4,5,5,4.2,0.592213151
1,1,37,2,Faxinal,3,1,Do lar,2,1,"TV, Rádio, Internet",1,1,Celular,5,4,4,4,4,4,4,4,4,4,4.1,0.335292996
2,1,24,1,Londrina ,3,3,Estudante ,2,9,Internet,1,1,Celular,5,5,4,4,4,4,4,4,4,4,4.2,0.335292996
1,3,33,1,Faxinal-PR ,4,4,Funcionária pública ,2,9,Internet,1,1,Celular,1,4,3,3,3,3,4,3,3,3,3,-0.461629008
1,2,39,2,Faxinal PR,2,3,Secretaria,1,9,Internet,1,1,Celular,4,4,4,4,4,4,4,5,5,5,4.3,0.766182858
1,1,29,2,Faxinal ,3,2,Cabeleira ,2,9,Internet,1,1,Celular,2,4,4,4,4,4,4,4,4,4,3.8,0.335292996
1,1,37,2,Faxinal,3,4,TEC em enfermagem,2,9,Internet,1,1,Celular,4,4,4,4,4,4,4,4,4,4,4,0.335292996
2,1,37,1,Curitiba,4,2,Contador,3,9,Internet,1,1,Celular,2,4,3,2,2,2,2,2,4,2,2.5,-1.058056196
2,1,52,2,Londrina,4,4,Professor ,4,9,"TV, Internet",1,1,Celular,3,4,3,2,3,3,4,4,4,4,3.4,-0.314774322
1,1,33,1,Passo Fundo,5,2,Arquiteta e Urbanista,5,9,"TV, Internet",1,1,Celular,2,4,3,2,3,4,4,3,3,2,3,-0.485353256
1,3,39,2,Faxinal_Pr,3,3,Administradora,3,9,Internet,1,1,"Computador, Celular, Notebook",5,5,4,4,4,5,5,4,5,5,4.6,0.973471252
1,1,52,3,Faxinal,5,4,Medica,5,9,"TV, Rádio, Internet",1,1,"Computador, Celular",5,4,4,4,4,4,4,4,4,4,4.1,0.335292996
1,3,37,2,Mauá da Serra ,3,4,Agricultura,2,9,Internet,1,1,Celular,2,3,2,2,3,2,3,4,4,2,2.7,-0.720619072
2,4,35,3,Curitiba,4,4,Supervisor de logística,3,9,Internet,1,1,"Computador, Celular",3,4,3,3,3,4,4,4,5,4,3.7,0.001719889
2,1,55,2,Curitiba PR,3,4,Técnico de Segurança do trabalho,4,9,"TV, Internet",1,1,"Computador, Celular",3,4,4,4,4,4,4,4,4,4,3.9,0.335292996
